id,source_file,block_file,line_count,priority,found_functions
getNoticeAlerts,AlertMapper.xml,getNoticeAlerts.sql,55,medium,"IF,date_add,DATE_FORMAT,TIMESTAMPDIFF,GROUP_CONCAT"
getNoticeAlertsFollow,AlertMapper.xml,getNoticeAlertsFollow.sql,53,medium,"IF,date_add,DATE_FORMAT,TIMESTAMPDIFF,GROUP_CONCAT"
selectNightAlertConfig,AlertMapper.xml,selectNightAlertConfig.sql,7,high,DATE_FORMAT
selectAlertChanged,AlertMapper.xml,selectAlertChanged.sql,1,high,
selectUnNightUnClose,AlertMapper.xml,selectUnNightUnClose.sql,7,high,IFNULL
selectDbgMinLrecepttime,AlertMapper.xml,selectDbgMinLrecepttime.sql,1,high,
selectMaxLreceptTime,AlertMapper.xml,selectMaxLreceptTime.sql,1,high,
selectCustomEvent,AlertMapper.xml,selectCustomEvent.sql,2,high,
selectAlertNotice,AlertMapper.xml,selectAlertNotice.sql,7,high,DATE_FORMAT
selectAlreadSend,AlertMapper.xml,selectAlreadSend.sql,4,high,
selectUserByRuleId,AlertMapper.xml,selectUserByRuleId.sql,23,high,IF
selectDbgMinAlertId,AlertMapper.xml,selectDbgMinAlertId.sql,1,high,
selectFilterList,AlertMapper.xml,selectFilterList.sql,7,high,DATE_FORMAT
selectAllFromTemporary,AlertMapper.xml,selectAllFromTemporary.sql,4,high,
selectFromTemporary,AlertMapper.xml,selectFromTemporary.sql,4,high,
selectNewAlerts,AlertMapper.xml,selectNewAlerts.sql,8,high,
selectAlertNumStage,AlertMapper.xml,selectAlertNumStage.sql,5,high,
selectHandleNum,AlertMapper.xml,selectHandleNum.sql,5,high,
selectRecurrentAlert,AlertMapper.xml,selectRecurrentAlert.sql,15,high,limit
selectRepetitive,AlertMapper.xml,selectRepetitive.sql,9,high,IFNULL
selectMayEndInfos,AlertMapper.xml,selectMayEndInfos.sql,4,high,GROUP_CONCAT
getAllAlertUsers,AlertMapper.xml,getAllAlertUsers.sql,21,high,"IFNULL,TIMESTAMPDIFF,date_format"
selectNotAssignAlert,AlertMapper.xml,selectNotAssignAlert.sql,11,high,"IFNULL,GROUP_CONCAT"
selectNeedNoticeAlert,AlertMapper.xml,selectNeedNoticeAlert.sql,18,high,GROUP_CONCAT
selectCountByToday,AlertMapper.xml,selectCountByToday.sql,1,high,
selectMayEndInfosByAlertUserId,AlertMapper.xml,selectMayEndInfosByAlertUserId.sql,6,high,
selectNowDutyUserCount,AlertMapper.xml,selectNowDutyUserCount.sql,16,high,
selectCanDistributeUserCount,AlertMapper.xml,selectCanDistributeUserCount.sql,11,high,
selectNoAssignPersonAlert,AlertMapper.xml,selectNoAssignPersonAlert.sql,21,high,"GROUP_CONCAT,if"
selectMayEndInfosById,AlertMapper.xml,selectMayEndInfosById.sql,5,high,
getNotFinishCount,AlertMapper.xml,getNotFinishCount.sql,1,high,
assessmentTaskNotice,AlertMapper.xml,assessmentTaskNotice.sql,7,high,"IFNULL,STR_TO_DATE,TIMESTAMPDIFF"
selectEventAlertRepeat,AlertMapper.xml,selectEventAlertRepeat.sql,10,high,GROUP_CONCAT
selectNoticedEventAlertRepeat,AlertMapper.xml,selectNoticedEventAlertRepeat.sql,6,high,DATE_FORMAT
selectUnMatchingMul,AlertMapper.xml,selectUnMatchingMul.sql,8,high,IFNULL
getNoAlertSpace,AlertMapper.xml,getNoAlertSpace.sql,8,high,"IFNULL,limit"
getAlertAllAmount,AlertMapper.xml,getAlertAllAmount.sql,10,high,
getAlertLevelAmount,AlertMapper.xml,getAlertLevelAmount.sql,24,high,
getReportAlertDetail,AlertMapper.xml,getReportAlertDetail.sql,25,high,GROUP_CONCAT
selectAlreadyDistributeUserCount,AlertMapper.xml,selectAlreadyDistributeUserCount.sql,4,high,
insertAlertRecordBatch,AlertMapper.xml,insertAlertRecordBatch.sql,6,high,
insertAlreadSend,AlertMapper.xml,insertAlreadSend.sql,1,high,
insertTemporaryInfos,AlertMapper.xml,insertTemporaryInfos.sql,4,high,
insertAlertInfos,AlertMapper.xml,insertAlertInfos.sql,4,high,
insertEventAlertRepeatBatch,AlertMapper.xml,insertEventAlertRepeatBatch.sql,2,high,
updateIsNight,AlertMapper.xml,updateIsNight.sql,2,high,
updateAlertRuleChange,AlertMapper.xml,updateAlertRuleChange.sql,1,high,
clearNewIdentify,AlertMapper.xml,clearNewIdentify.sql,3,high,
updateDbgMinAlertId,AlertMapper.xml,updateDbgMinAlertId.sql,1,high,
closeAlert,AlertMapper.xml,closeAlert.sql,4,high,
updateNotRepetitive,AlertMapper.xml,updateNotRepetitive.sql,8,high,
setImportantLevel,AlertMapper.xml,setImportantLevel.sql,14,high,"date_add,TIMESTAMPDIFF"
updateNoDutyAlerts,AlertMapper.xml,updateNoDutyAlerts.sql,5,high,
deleteTemporary,AlertMapper.xml,deleteTemporary.sql,1,high,
deleteSameAlert,AlertMapper.xml,deleteSameAlert.sql,3,high,
