id,source_file,block_file,line_count,priority,found_functions
selectWillCaculate,WorkbenchScheduleTaskMapper.xml,selectWillCaculate.sql,30,high,"date_add,DATE_FORMAT"
selectWillCaculateBytime,WorkbenchScheduleTaskMapper.xml,selectWillCaculateBytime.sql,19,high,
selectWorkDayByTaskTime,WorkbenchScheduleTaskMapper.xml,selectWorkDayByTaskTime.sql,6,high,DATE_FORMAT
selectCountByDay,WorkbenchScheduleTaskMapper.xml,selectCountByDay.sql,1,high,DATE_FORMAT
selectDutysByUserId,WorkbenchScheduleTaskMapper.xml,selectDutysByUserId.sql,16,high,DATE_FORMAT
selectDutyCountByTime,WorkbenchScheduleTaskMapper.xml,selectDutyCountByTime.sql,24,high,DATE_FORMAT
selectDutysByRole,WorkbenchScheduleTaskMapper.xml,selectDutysByRole.sql,22,high,DATE_FORMAT
selectWorkbenchScheduleTaskByUser,WorkbenchScheduleTaskMapper.xml,selectWorkbenchScheduleTaskByUser.sql,3,high,
selectScheduleTaskById,WorkbenchScheduleTaskMapper.xml,selectScheduleTaskById.sql,20,high,
selectIntervalCount,WorkbenchScheduleTaskMapper.xml,selectIntervalCount.sql,2,high,
selectCalendarTaskByUser,WorkbenchScheduleTaskMapper.xml,selectCalendarTaskByUser.sql,7,high,
insertDudyTimePoint,WorkbenchScheduleTaskMapper.xml,insertDudyTimePoint.sql,3,high,
insert,WorkbenchScheduleTaskMapper.xml,insert.sql,3,high,
stopAllScheduleByExecutorId,WorkbenchScheduleTaskMapper.xml,stopAllScheduleByExecutorId.sql,9,high,
updateScheduleTaskCycleStatus,WorkbenchScheduleTaskMapper.xml,updateScheduleTaskCycleStatus.sql,2,high,
updatePartIdGroupIdList,WorkbenchScheduleTaskMapper.xml,updatePartIdGroupIdList.sql,2,high,
stopAllLeaveScheduleByExecutorId,WorkbenchScheduleTaskMapper.xml,stopAllLeaveScheduleByExecutorId.sql,9,high,
deleteAllScheduleByExecutorId,WorkbenchScheduleTaskMapper.xml,deleteAllScheduleByExecutorId.sql,4,high,DATE_FORMAT
deleteAllLeaveScheduleByExecutorId,WorkbenchScheduleTaskMapper.xml,deleteAllLeaveScheduleByExecutorId.sql,4,high,
